tw_topic_1,tw_topic_2,tw_topic_3,tw_topic_4,tw_topic_5,date
0.8147668,0.020568341,0.020317074,0.12410705,0.020240718,2020-11-15
0.738242,0.16299488,0.011160942,0.07647047,0.011131756,2020-11-16
0.88666105,0.08708532,0.008767478,0.008754116,0.008732039,2020-11-17
0.007217778,0.007210526,0.07934853,0.8989815,0.007241609,2020-11-18
0.96494824,0.008814069,0.008717405,0.008809454,0.008710873,2020-11-19
0.67536396,0.14397696,0.008014898,0.16460562,0.008038606,2020-11-20
0.9199418,0.020017302,0.020007323,0.020028774,0.020004887,2020-11-21
0.79219204,0.06546679,0.12123472,0.010559807,0.010546667,2020-11-22
0.16960344,0.02956169,0.02872951,0.1714667,0.6006387,2020-11-23
0.29972878,0.54925096,0.050083455,0.050853305,0.050083503,2020-11-24
0.48357564,0.012051378,0.40647858,0.08606645,0.011827959,2020-11-25
0.010044939,0.010023935,0.95957893,0.010333616,0.010018642,2020-11-26
0.867928,0.09167762,0.013570951,0.013415194,0.013408198,2020-11-27
0.9633658,0.009190561,0.00914357,0.0091433525,0.0091567,2020-11-28
0.925194,0.01871692,0.018696183,0.018708516,0.018684303,2020-11-29
0.5533178,0.013693626,0.013392984,0.40622553,0.013370101,2020-11-30
0.96159935,0.009657799,0.009577773,0.009581544,0.009583518,2020-12-01
0.963509,0.009178169,0.009106015,0.009105336,0.009101425,2020-12-02
0.012541871,0.012546591,0.012541918,0.012541917,0.9498277,2020-12-03
0.87778956,0.012899469,0.08406614,0.012610783,0.012634044,2020-12-04
0.94963443,0.012697249,0.012549057,0.012563693,0.0125555685,2020-12-05
0.86829144,0.009759541,0.060099285,0.052240673,0.009608997,2020-12-06
0.92494655,0.008860965,0.04868651,0.0087543195,0.008751658,2020-12-07
0.6535016,0.27127305,0.025070323,0.025060022,0.02509506,2020-12-08
0.2,0.2,0.2,0.2,0.2,2020-12-09
0.87510824,0.01139,0.011205104,0.091114156,0.011182473,2020-12-10
0.9137307,0.063050956,0.0077433176,0.007741783,0.007733217,2020-12-11
0.7817779,0.1803149,0.012576917,0.012758039,0.012572178,2020-12-12
0.07038357,0.06700673,0.06666877,0.7292722,0.06666877,2020-12-13
0.92654854,0.008091025,0.049313296,0.008029163,0.0080179265,2020-12-14
0.94944626,0.01295471,0.012545103,0.01253137,0.012522543,2020-12-15
0.59845823,0.10000066,0.10000066,0.10153978,0.10000066,2020-12-16
0.3738116,0.50581104,0.040130287,0.040102545,0.04014448,2020-12-17
0.2601545,0.29248622,0.04916077,0.3901311,0.008067444,2020-12-18
0.50608957,0.15114573,0.22056621,0.10535254,0.016845927,2020-12-19
0.59807926,0.29911664,0.034336414,0.034637786,0.033829916,2020-12-20
0.8383341,0.018546639,0.018384218,0.10635857,0.018376477,2020-12-21
0.66481304,0.30133453,0.011176009,0.011500556,0.01117582,2020-12-22
0.9577279,0.010570287,0.010575152,0.010565471,0.010561209,2020-12-23
0.7076599,0.012815576,0.012620406,0.11160579,0.15529831,2020-12-24
0.5761169,0.34867442,0.025050009,0.02510283,0.02505584,2020-12-25
0.5876473,0.23808195,0.12906606,0.022586897,0.022617817,2020-12-26
0.83722186,0.040714562,0.040684666,0.04074829,0.04063061,2020-12-27
0.9325432,0.017002214,0.01670635,0.017031921,0.016716264,2020-12-28
0.5343972,0.09737568,0.33692035,0.015456576,0.015850179,2020-12-29
0.11775528,0.009660775,0.009608631,0.0096430285,0.8533323,2020-12-30
0.08144484,0.8846803,0.0112230405,0.011337176,0.011314702,2020-12-31
0.96317774,0.009245661,0.009154151,0.009261966,0.009160467,2021-01-01
0.5909496,0.021058789,0.020293666,0.2500254,0.11767259,2021-01-02
0.62683946,0.008978046,0.16298959,0.1923766,0.008816322,2021-01-03
0.0410258,0.6188269,0.040297464,0.25954655,0.040303305,2021-01-04
0.8153608,0.15715413,0.009227429,0.009135862,0.009121748,2021-01-05
