Date, Open, High, Low, Close
07/20/21, 44269.52, 45037.67, 44172.69, 44885.98
07/19/21, 44199.07, 44244.94, 43869.80, 44122.93
07/16/21, 45304.78, 45317.27, 44745.29, 44793.72
07/15/21, 45165.38, 45262.38, 44896.11, 45133.57
07/14/21, 45552.50, 45611.66, 45201.02, 45289.15
07/13/21, 45524.03, 45619.32, 45334.29, 45354.01
07/12/21, 45492.47, 45627.44, 45423.90, 45611.62
07/09/21, 45137.33, 45508.71, 45129.04, 45491.12
07/08/21, 44663.79, 45051.52, 44539.75, 44922.90
07/07/21, 45343.51, 45402.14, 45032.51, 45326.00
07/06/21, 45403.31, 45413.44, 44954.84, 45257.90
07/02/21, 45242.09, 45410.22, 45191.40, 45378.14
07/01/21, 44989.05, 45138.98, 44947.46, 45126.00
06/30/21, 44830.87, 44952.09, 44819.69, 44904.32
06/29/21, 44947.73, 44998.44, 44826.53, 44880.65
06/28/21, 44907.48, 44910.78, 44709.49, 44886.05
06/25/21, 44767.97, 44868.55, 44714.34, 44816.71
06/24/21, 44608.95, 44704.00, 44593.01, 44658.59
06/23/21, 44405.72, 44512.63, 44360.47, 44363.85
06/22/21, 44145.95, 44467.58, 44044.94, 44374.41
06/21/21, 43687.71, 44152.23, 43615.03, 44138.61
06/18/21, 43743.68, 43824.00, 43505.62, 43522.29
06/17/21, 44088.44, 44212.89, 43795.73, 44097.07
06/16/21, 44367.25, 44380.77, 43886.81, 44133.71
06/15/21, 44478.34, 44478.34, 44239.81, 44348.29
06/14/21, 44429.56, 44471.16, 44283.35, 44470.60
06/11/21, 44359.67, 44420.73, 44241.24, 44419.97
06/10/21, 44241.40, 44387.42, 44066.04, 44276.56
06/09/21, 44300.83, 44311.99, 44091.29, 44096.52
06/08/21, 44256.69, 44277.31, 43962.18, 44212.15
06/07/21, 44108.88, 44156.06, 44025.63, 44143.55
06/04/21, 43920.87, 44125.52, 43920.87, 44087.71
06/03/21, 43665.86, 43834.32, 43446.07, 43712.97
06/02/21, 43945.12, 43994.63, 43811.08, 43921.97
06/01/21, 44127.16, 44142.29, 43794.08, 43868.54
05/28/21, 43965.43, 43982.06, 43840.97, 43841.98
05/27/21, 43823.76, 43892.78, 43776.02, 43806.89
05/26/21, 43622.65, 43754.18, 43543.79, 43709.19
05/25/21, 43792.20, 43841.14, 43483.69, 43535.94
05/24/21, 43483.88, 43789.75, 43461.44, 43657.79
05/21/21, 43474.60, 43594.40, 43197.32, 43239.07
05/20/21, 42897.07, 43385.58, 42890.49, 43259.30
05/19/21, 42356.80, 42799.40, 42212.06, 42791.60
05/18/21, 43329.71, 43381.79, 42919.67, 42937.02
05/17/21, 43240.78, 43343.97, 43022.62, 43263.65
05/14/21, 42964.09, 43457.39, 42964.09, 43368.26
05/13/21, 42353.98, 42843.95, 42330.10, 42650.33
05/12/21, 42841.50, 42985.82, 42105.44, 42165.09
05/11/21, 42885.55, 43257.57, 42691.73, 43168.89
05/10/21, 44038.85, 44038.85, 43482.36, 43485.43
05/07/21, 43762.69, 44085.34, 43698.02, 44028.67
05/06/21, 43406.87, 43670.48, 43104.60, 43663.41
05/05/21, 43647.44, 43660.44, 43351.80, 43417.56
05/04/21, 43543.85, 43593.93, 43049.44, 43439.71
05/03/21, 43949.68, 43976.38, 43748.39, 43791.61
04/30/21, 43774.66, 43919.18, 43635.78, 43703.56
04/29/21, 44188.20, 44204.28, 43695.30, 44054.28
04/28/21, 43910.91, 44031.93, 43833.45, 43853.43
04/27/21, 43939.24, 43953.50, 43780.18, 43888.83
04/26/21, 43857.89, 43959.73, 43800.94, 43893.23
04/23/21, 43304.73, 43876.35, 43294.01, 43736.00
04/22/21, 43534.55, 43710.33, 43087.93, 43211.42
04/21/21, 42990.57, 43559.69, 42968.53, 43550.95
04/20/21, 43339.19, 43401.88, 42889.16, 43082.47
04/19/21, 43629.32, 43678.49, 43300.03, 43446.60
04/16/21, 43774.03, 43795.22, 43572.80, 43735.05
04/15/21, 43416.44, 43633.39, 43386.52, 43609.98
04/14/21, 43301.76, 43466.64, 43106.13, 43146.17
04/13/21, 43152.62, 43355.23, 43105.78, 43287.74
04/12/21, 43065.55, 43168.29, 42970.96, 43131.45
04/09/21, 42845.40, 43145.27, 42824.28, 43142.13
04/08/21, 42781.73, 42861.20, 42655.15, 42859.61
04/07/21, 42657.83, 42724.40, 42531.29, 42633.10
04/06/21, 42608.95, 42802.44, 42593.32, 42660.32
04/05/21, 42451.96, 42694.63, 42445.86, 42660.13
04/01/21, 41908.51, 42143.88, 41897.48, 42138.34
03/31/21, 41499.71, 41830.39, 41499.71, 41602.65
03/30/21, 41291.22, 41481.11, 41157.40, 41386.65
03/29/21, 41456.84, 41583.54, 41163.23, 41411.96
03/26/21, 41086.51, 41637.09, 40964.56, 41604.09
03/25/21, 40433.86, 41039.18, 40219.49, 40934.15
03/24/21, 41187.66, 41345.72, 40657.23, 40657.23
03/23/21, 41377.46, 41466.75, 40913.24, 41011.38
03/22/21, 41286.82, 41643.97, 41267.46, 41475.25
03/19/21, 41183.37, 41413.72, 40908.85, 41251.19
03/18/21, 41659.46, 41884.15, 41158.46, 41210.90
03/17/21, 41598.21, 42050.87, 41472.46, 41945.87
03/16/21, 42033.35, 42045.99, 41673.51, 41804.00
03/15/21, 41694.87, 41974.29, 41476.09, 41966.28
03/12/21, 41393.11, 41678.90, 41315.97, 41665.73
03/11/21, 41404.36, 41767.82, 41336.41, 41603.79
03/10/21, 41112.91, 41256.76, 40929.29, 41060.42
03/09/21, 40633.39, 41074.66, 40550.63, 40785.52
03/08/21, 40476.09, 40777.31, 40122.18, 40139.84
03/05/21, 40018.00, 40445.45, 39017.10, 40359.08
03/04/21, 40214.52, 40458.55, 39102.94, 39614.97
03/03/21, 40813.15, 40925.99, 40259.27, 40266.55
03/02/21, 41310.94, 41315.56, 40847.39, 40863.51
03/01/21, 40822.76, 41388.52, 40822.76, 41265.84
02/26/21, 40572.56, 40755.45, 39935.51, 40254.06
02/25/21, 41359.35, 41501.96, 40226.74, 40383.44
02/24/21, 40914.02, 41519.60, 40784.25, 41490.07
02/23/21, 40690.90, 41158.38, 40086.39, 41011.26
02/22/21, 41097.71, 41338.55, 41010.98, 41018.70
02/19/21, 41515.38, 41641.26, 41376.17, 41413.61
02/18/21, 41283.82, 41453.68, 41036.34, 41346.77
02/17/21, 41408.77, 41615.56, 41253.38, 41591.17
02/16/21, 41908.49, 41919.59, 41559.04, 41672.04
02/12/21, 41420.14, 41754.68, 41409.85, 41733.23
02/11/21, 41581.97, 41646.60, 41227.44, 41536.07
02/10/21, 41668.79, 41695.51, 41160.82, 41441.66
02/09/21, 41381.92, 41545.49, 41326.97, 41459.99
02/08/21, 41289.55, 41459.93, 41223.33, 41459.82
02/05/21, 41063.39, 41120.66, 40896.55, 41074.00
02/04/21, 40514.49, 40848.71, 40475.03, 40846.25
02/03/21, 40441.63, 40525.88, 40191.30, 40361.37
02/02/21, 40113.14, 40451.79, 40113.14, 40309.71
02/01/21, 39437.17, 39812.29, 39171.36, 39729.11
01/29/21, 39643.15, 39721.07, 38839.08, 39056.49
01/28/21, 39624.54, 40201.53, 39624.54, 39790.95
01/27/21, 40019.31, 40031.11, 39210.63, 39395.33
01/26/21, 40716.76, 40750.72, 40420.18, 40435.26
01/25/21, 40586.98, 40672.73, 39956.76, 40565.56
01/22/21, 40318.86, 40542.59, 40272.63, 40458.32
01/21/21, 40634.55, 40634.55, 40435.07, 40517.07
01/20/21, 40301.12, 40623.07, 40272.86, 40551.83
01/19/21, 40020.25, 40084.27, 39852.21, 40039.29
01/15/21, 39863.59, 39927.88, 39476.87, 39697.42
01/14/21, 40193.81, 40289.44, 39985.85, 40017.75
01/13/21, 40043.80, 40201.59, 39896.60, 40067.51
01/12/21, 39973.11, 40083.35, 39753.50, 40030.23
01/11/21, 39737.84, 40094.15, 39722.49, 39907.45
01/08/21, 40121.60, 40167.52, 39682.98, 40122.82
01/07/21, 39580.90, 40009.17, 39579.54, 39938.70
01/06/21, 38827.66, 39667.74, 38814.61, 39299.82
01/05/21, 38591.65, 39074.27, 38591.65, 38970.56
01/04/21, 39373.61, 39380.38, 38245.45, 38646.40
12/31/20, 39038.56, 39257.64, 38945.25, 39219.62
12/30/20, 39057.33, 39164.71, 39018.39, 39037.62
12/29/20, 39276.99, 39303.01, 38871.23, 38935.62
12/28/20, 39185.13, 39192.76, 39065.53, 39090.96
12/24/20, 38855.96, 38894.03, 38751.47, 38887.44
12/23/20, 38875.99, 38991.44, 38782.59, 38789.62
12/22/20, 38788.18, 38843.04, 38594.07, 38750.10
12/21/20, 38414.25, 38811.09, 38116.81, 38741.41
12/18/20, 39007.22, 39023.10, 38588.48, 38854.83
12/17/20, 38836.69, 38947.60, 38796.15, 38947.55
12/16/20, 38647.27, 38750.13, 38537.30, 38650.25
12/15/20, 38352.04, 38603.56, 38226.18, 38602.35
12/14/20, 38446.79, 38581.86, 38071.87, 38085.78
12/11/20, 38100.06, 38229.54, 37877.81, 38201.70
12/10/20, 37999.49, 38332.46, 37904.69, 38271.49
12/09/20, 38665.02, 38693.59, 38055.22, 38213.66
12/08/20, 38300.23, 38634.74, 38285.24, 38576.35
12/07/20, 38392.08, 38469.96, 38295.39, 38419.62
12/04/20, 38149.14, 38454.46, 38146.81, 38454.30
12/03/20, 38034.12, 38221.04, 37968.57, 38058.13
12/02/20, 37821.94, 38032.00, 37722.11, 38009.72
12/01/20, 37959.38, 38121.26, 37889.84, 37967.70
11/30/20, 37755.31, 37778.61, 37275.83, 37581.62
