Date;Close/Last
10/11/2021;1755.7
10/08/2021;1757.4
10/07/2021;1759.2
10/06/2021;1761.8
10/05/2021;1760.9
10/04/2021;1767.6
10/01/2021;1758.4
09/30/2021;1757
09/29/2021;1722.9
09/28/2021;1737.5
09/27/2021;1752
09/24/2021;1751.7
09/23/2021;1749.8
09/22/2021;1778.8
09/21/2021;1778.2
09/20/2021;1763.8
09/17/2021;1751.4
09/16/2021;1756.7
09/15/2021;1794.8
09/14/2021;1807.1
09/13/2021;1794.4
09/10/2021;1792.1
09/09/2021;1800
09/08/2021;1793.5
09/07/2021;1798.5
09/03/2021;1833.7
09/02/2021;1811.5
09/01/2021;1816
08/31/2021;1818.1
08/30/2021;1812.2
08/27/2021;1819.5
08/26/2021;1795.2
08/25/2021;1791
08/24/2021;1808.5
08/23/2021;1806.3
08/20/2021;1784
08/19/2021;1783.1
08/18/2021;1784.4
08/17/2021;1787.8
08/16/2021;1789.8
08/13/2021;1778.2
08/12/2021;1751.8
08/11/2021;1753.3
08/10/2021;1731.7
08/09/2021;1726.5
08/06/2021;1763.1
08/05/2021;1808.9
08/04/2021;1814.5
08/03/2021;1814.1
08/02/2021;1822.2
07/30/2021;1817.2
07/29/2021;1835.8
07/28/2021;1804.6
07/27/2021;1804
07/26/2021;1803.4
07/23/2021;1805.9
07/22/2021;1809.2
07/21/2021;1807.4
07/20/2021;1811.4
07/19/2021;1809.2
07/16/2021;1815
07/15/2021;1829
07/14/2021;1825
07/13/2021;1809.9
07/12/2021;1805.9
07/09/2021;1810.6
07/08/2021;1800.2
07/07/2021;1802.1
07/06/2021;1794.2
07/02/2021;1783.3
07/01/2021;1776.8
06/30/2021;1771.6
06/29/2021;1763.6
06/28/2021;1780.7
06/25/2021;1777.8
06/24/2021;1776.7
06/23/2021;1783.4
06/22/2021;1777.4
06/21/2021;1782.9
06/18/2021;1769
06/17/2021;1774.8
06/16/2021;1861.4
06/15/2021;1856.4
06/14/2021;1865.9
06/11/2021;1879.6
06/10/2021;1896.4
06/09/2021;1895.5
06/08/2021;1894.4
06/07/2021;1898.8
06/04/2021;1892
06/03/2021;1873.3
06/02/2021;1909.9
06/01/2021;1905
05/28/2021;1905.3
05/27/2021;1898.5
05/26/2021;1903.8
05/25/2021;1900.5
05/24/2021;1886.7
05/21/2021;1878.9
05/20/2021;1883.9
05/19/2021;1881.5
05/18/2021;1868
05/17/2021;1867.6
05/14/2021;1838.1
05/13/2021;1824
05/12/2021;1822.8
05/11/2021;1836.1
05/10/2021;1837.6
05/07/2021;1831.3
05/06/2021;1815.7
05/05/2021;1784.3
05/04/2021;1776
05/03/2021;1791.8
04/30/2021;1767.7
04/29/2021;1768.3
04/28/2021;1773.9
04/27/2021;1778.8
04/26/2021;1780.1
04/23/2021;1777.8
04/22/2021;1782
04/21/2021;1793.1
04/20/2021;1778.4
04/19/2021;1770.6
04/16/2021;1780.2
04/15/2021;1766.8
04/14/2021;1736.3
04/13/2021;1747.6
04/12/2021;1732.7
04/09/2021;1744.8
04/08/2021;1758.2
04/07/2021;1741.6
04/06/2021;1743
04/05/2021;1728.8
04/01/2021;1728.4
03/31/2021;1715.6
03/30/2021;1686
03/29/2021;1714.6
03/26/2021;1734.7
03/25/2021;1727.3
03/24/2021;1735.5
03/23/2021;1727.5
03/22/2021;1740.4
03/19/2021;1743.9
03/18/2021;1734.6
03/17/2021;1727.1
03/16/2021;1730.9
03/15/2021;1729.2
03/12/2021;1719.8
03/11/2021;1722.6
03/10/2021;1721.8
03/09/2021;1716.9
03/08/2021;1678
03/05/2021;1698.5
03/04/2021;1700.7
03/03/2021;1715.8
03/02/2021;1733.6
03/01/2021;1723
02/26/2021;1728.8
02/25/2021;1775.4
02/24/2021;1797.9
02/23/2021;1805.9
02/22/2021;1808.4
02/19/2021;1777.4
02/18/2021;1775
02/17/2021;1772.8
02/16/2021;1799
02/12/2021;1823.2
02/11/2021;1826.8
02/10/2021;1842.7
02/09/2021;1837.5
02/08/2021;1834.2
02/05/2021;1813
02/04/2021;1791.2
02/03/2021;1835.1
02/02/2021;1833.4
02/01/2021;1863.9
01/29/2021;1850.3
01/28/2021;1841.2
01/27/2021;1848.9
01/26/2021;1854.8
01/25/2021;1859
01/22/2021;1859.9
01/21/2021;1869.3
01/20/2021;1870.2
01/19/2021;1840.2
01/15/2021;1829.9
01/14/2021;1851.4
01/13/2021;1854.9
01/12/2021;1844.2
01/11/2021;1850.8
01/08/2021;1835.4
01/07/2021;1913.6
01/06/2021;1908.6
01/05/2021;1954.4
01/04/2021;1946.6
12/31/2020;1895.1
12/30/2020;1893.4
12/29/2020;1882.9
12/28/2020;1880.4
12/24/2020;1883.2
12/23/2020;1878.1
12/22/2020;1870.3
12/21/2020;1882.8
12/18/2020;1888.9
12/17/2020;1890.4
12/16/2020;1859.1
12/15/2020;1855.3
12/14/2020;1832.1
12/11/2020;1843.6
12/10/2020;1837.4
12/09/2020;1838.5
12/08/2020;1874.9
12/07/2020;1866
12/04/2020;1840
12/03/2020;1841.1
12/02/2020;1830.2
12/01/2020;1818.9
11/30/2020;1780.9
11/27/2020;1788.1
11/25/2020;1811.2
11/24/2020;1810.9
11/23/2020;1844.1
11/20/2020;1872.4
11/19/2020;1861.5
11/18/2020;1873.9
11/17/2020;1885.1
11/16/2020;1887.8
11/13/2020;1886.2
11/12/2020;1873.3
11/11/2020;1861.6
11/10/2020;1876.4
11/09/2020;1854.4
11/06/2020;1951.7
11/05/2020;1946.8
11/04/2020;1896.2
11/03/2020;1910.4
11/02/2020;1892.5
10/30/2020;1879.9
10/29/2020;1868
10/28/2020;1879.2
10/27/2020;1911.9
10/26/2020;1905.7
10/23/2020;1905.2
10/22/2020;1904.6
10/21/2020;1929.5
10/20/2020;1915.4
10/19/2020;1911.7
10/16/2020;1906.4
10/15/2020;1908.9
10/14/2020;1907.3
10/13/2020;1894.6
10/12/2020;1928.9
10/09/2020;1926.2
10/08/2020;1895.1
10/07/2020;1890.8
10/06/2020;1908.8
10/05/2020;1920.1
10/02/2020;1907.6
10/01/2020;1916.3
09/30/2020;1895.5
09/29/2020;1903.2
09/28/2020;1882.3
09/25/2020;1866.3
09/24/2020;1876.9
09/23/2020;1868.4
09/22/2020;1907.6
09/21/2020;1910.6
09/18/2020;1962.1
09/17/2020;1949.9
09/16/2020;1970.5
09/15/2020;1966.2
09/14/2020;1963.7
09/11/2020;1947.9
09/10/2020;1964.3
09/09/2020;1954.9
09/08/2020;1943.2
09/04/2020;1934.3
09/03/2020;1937.8
09/02/2020;1944.7
09/01/2020;1978.9
08/31/2020;1978.6
08/28/2020;1974.9
08/27/2020;1932.6
08/26/2020;1952.5
08/25/2020;1923.1
08/24/2020;1939.2
08/21/2020;1947
08/20/2020;1946.5
08/19/2020;1970.3
08/18/2020;2013.1
08/17/2020;1998.7
08/14/2020;1949.8
08/13/2020;1970.4
08/12/2020;1949
08/11/2020;1946.3
08/10/2020;2039.7
08/07/2020;2028
08/06/2020;2069.4
08/05/2020;2049.3
08/04/2020;2021
08/03/2020;1986.3
07/31/2020;1985.9
07/30/2020;1966.8
07/29/2020;1976.7
07/28/2020;1963.9
07/27/2020;1955.4
07/24/2020;1897.5
07/23/2020;1890
07/22/2020;1865.1
07/21/2020;1843.9
07/20/2020;1817.4
07/17/2020;1810
07/16/2020;1800.3
07/15/2020;1813.8
07/14/2020;1813.4
07/13/2020;1814.1
07/10/2020;1801.9
07/09/2020;1803.8
07/08/2020;1820.6
07/07/2020;1809.9
07/06/2020;1793.5
07/02/2020;1790
07/01/2020;1779.9
06/30/2020;1800.5
06/29/2020;1781.2
06/26/2020;1780.3
06/25/2020;1770.6
06/24/2020;1775.1
06/23/2020;1782
06/22/2020;1766.4
06/19/2020;1753
06/18/2020;1731.1
06/17/2020;1735.6
06/16/2020;1736.5
06/15/2020;1727.2
06/12/2020;1737.3
06/11/2020;1739.8
06/10/2020;1720.7
06/09/2020;1721.9
06/08/2020;1705.1
06/05/2020;1683
06/04/2020;1727.4
06/03/2020;1704.8
06/02/2020;1734
06/01/2020;1750.3
05/29/2020;1736.9
05/28/2020;1728.3
05/27/2020;1726.8
05/26/2020;1728.2
05/22/2020;1734.6
05/21/2020;1721.9
05/20/2020;1750.6
05/19/2020;1745.6
05/18/2020;1734.4
05/15/2020;1753.4
05/14/2020;1740.9
05/13/2020;1716.4
05/12/2020;1706.8
05/11/2020;1698
05/08/2020;1709.9
05/07/2020;1725.8
05/06/2020;1688.5
05/05/2020;1710.6
05/04/2020;1713.3
05/01/2020;1694.5
