date,sp_r,dj_r,new_cases,new_deaths,people_vaccinated_per_hundred,funds_er,walcl,lr_treasury_r,headline_nsr,abstract_nsr,lead_parag_nsr,body_nsr,tweet_nsr,gold_pr,usd_eur,tw_topic_1,tw_topic_2,tw_topic_3,tw_topic_4,tw_topic_5,nyt_topic_1,nyt_topic_2,nyt_topic_3,nyt_topic_4,nyt_topic_5,nyt_topic_6,nyt_topic_7,nyt_topic_8,nyt_topic_9,nyt_topic_10
2020-06-04,-0.003368696103263979,-0.003310836622946736,27934.0,1006.0,0.0,0.08,7165217.0,0.03,0.0869565217391304,0.2173913043478261,0.3043478260869565,0.9130434782608696,0.2137931034482758,1727.4,0.8822,0.40437996,0.17106858,0.22999495,0.0909366,0.10361993,0.000336303,0.0003363103,0.00033632645,0.00033629735,0.9969731,0.00033650664,0.0003362557,0.00033631368,0.0003362983,0.00033629386
2020-06-05,0.026211704981766167,0.026457955762499884,26439.0,878.0,0.0,0.08,7165217.0,0.06,-0.1052631578947368,-0.1052631578947368,0.3157894736842105,0.7894736842105263,0.1344827586206896,1683.0,0.8858,0.0097124,0.009586971,0.06471428,0.010063082,0.9059233,0.037562232,0.061066493,0.086865634,0.00018102906,0.191726,0.00018102913,0.00018099287,0.60832375,0.00018102146,0.013731805
2020-06-08,0.012041591393674889,0.01361821006483192,16899.0,511.0,0.0,0.08,7165217.0,0.04,0.1875,0.125,0.3125,0.875,0.1777003484320557,1705.1,0.8854,0.5229189,0.023024194,0.022337794,0.40937188,0.02234729,0.00018130633,0.3367816,0.41864234,0.007854693,0.16478033,0.0030654322,0.00017042851,0.03541221,0.0001704648,0.03294121
2020-06-09,-0.007799182648133436,-0.009567886635885606,20321.0,914.0,0.0,0.08,7165217.0,0.01,0.0384615384615384,0.0,0.5384615384615384,0.8461538461538463,0.1590106007067138,1721.9,0.8818,0.313109,0.46404418,0.20631318,0.008284036,0.008249588,0.00021233893,0.29931483,0.04588437,0.17235912,0.005672127,0.00021235741,0.00021229993,0.060783103,0.41096994,0.0043794746
2020-06-10,-0.005313078779488512,-0.006994820239028151,21718.0,875.0,0.0,0.08,7168936.0,-0.07,0.0666666666666666,0.0333333333333333,0.2666666666666666,0.9666666666666668,0.1489361702127659,1720.7,0.8789,0.6441198,0.10689968,0.011890789,0.2252709,0.011818861,0.00016440073,0.019909648,0.75215125,0.00016440667,0.1918537,0.0001644043,0.00016437058,0.022779236,0.012484237,0.00016440316
2020-06-11,-0.05894412157460173,-0.06019864285073491,22278.0,817.0,0.0,0.08,7168936.0,-0.14,0.0625,0.4375,0.1875,0.875,0.096551724137931,1739.8,0.8851,0.6601371,0.1049664,0.0091373185,0.21664463,0.00911449,0.00063278456,0.729477,0.000632794,0.0006326978,0.19553874,0.000632684,0.00063261506,0.07055527,0.0006326734,0.00063276757
2020-06-12,0.01306085739982014,0.01402289167850876,25558.0,825.0,0.0,0.08,7168936.0,-0.08,-0.04,0.32,0.3199999999999999,0.92,0.2346938775510204,1737.3,0.8884,0.040829796,0.040474437,0.040159974,0.8384748,0.040061004,0.2537341,0.28632474,0.2195407,0.00022430833,0.14804925,0.09122985,0.00022425722,0.00022427549,0.00022424954,0.00022425428
2020-06-15,0.008312207568449189,0.01023779823446752,20999.0,401.0,0.0,0.08,7168936.0,-0.09,0.1153846153846153,0.1153846153846153,0.3846153846153846,0.8461538461538463,0.1438848920863309,1727.2,0.883,0.69967645,0.27157512,0.009560471,0.009559534,0.009628419,0.05485485,0.40505317,0.14864427,4.6699235e-05,0.12892361,0.017093597,4.6691635e-05,0.24524373,4.6701763e-05,4.669833e-05
2020-06-16,0.018962430582503572,0.019030119708380703,24549.0,786.0,0.0,0.08,7168936.0,-0.06,-0.0384615384615384,0.0769230769230769,0.3461538461538462,0.8461538461538463,0.1398963730569948,1736.5,0.8878,0.7991027,0.050464213,0.050079394,0.05027419,0.050079457,0.00017972667,0.2220216,0.01563628,0.062092748,0.03290039,0.28135416,0.00017968027,0.061287593,0.32416812,0.00017973468
2020-06-17,-0.0036002995449221377,-0.004523504784482166,27050.0,747.0,0.0,0.08,7094690.0,-0.06,-0.0416666666666666,0.3333333333333333,0.6666666666666667,0.8333333333333333,0.2145328719723183,1735.6,0.8894,0.8744197,0.014494033,0.014345401,0.014424036,0.08231679,0.10783636,0.10005347,0.00019503866,0.00019501778,0.045151353,0.00019503765,0.00019498939,0.5391451,0.1829816,0.024052087
